name,Brand,Best Sellers Rank,weight,Laptop type,Laptop purpose,Screen Size,Hard Drive Size,Hard Drive Type,RAM speed,RAM size,RAM type,CPU,CPU rank,GPU,GPU performance,Optical Drive Type,Operating System,Number of USB 3.0 Ports,Number of USB 2.0 Ports,Date First Available,Customer Reviews,old_price,price
"hp chromebook 11a g8 ee 11.6"" rugged chromebook - hd - 1366 x 768 - amd a-series a4-9120c dual-core (2 core) 1.60 ghz - 4 gb ram - 32 gb flash memory - chalkboard gray - amd chip - chrome os - am ",hp,521.0,1.905087954,traditional,general,14.0,512.0,ssd,1.6,4.0,ddr4,amd a4 9120c,3151.0,intel uhd 605,0.9,Yes,chrome os,1.0,1.0,2021-06-30,5.0,125.0,125.0
"2022 lenovo 14inch chromebook, intel celeron n processor up to 2.70ghz, 4gb ram, 64gb ssd, super-fast wifi, chrome os, dale gray (renewed) (dale gray) ",lenovo,686.0,2.1137404442000003,traditional,general,14.0,64.0,ssd,2.69395,4.0,ddr4,intel core i5 1140g7,2867.0,intel uhd 605,0.9,No,chrome os,4.0,1.0,2022-09-03,4.5,139.99,129.0
"2021 dell 11.6-inch convertible 2-in-1 touchscreen chromebook, intel celeron processor up to 2.48ghz, 4gb ram 16gb ssd, hdmi, chrome os (touchscreen) (renewed) ",dell,161.0,1.9232316488,traditional,general,14.0,16.0,ssd,2.48,16.0,ddr3l,intel core i5 1140g7,2867.0,intel hd ,0.9,No,chrome os,0.0,0.0,2021-08-15,4.0,129.0,129.0
"hp newest 14inch lightweight chromebook-intel celeron n3350 up to 2.4ghz processor, 4gb lpddr4 memory, 32gb ssd, intel hd graphics, wifi, b&o play audio, chrome os (renewed) ",hp,654.0,2.1953870708,traditional,general,14.0,32.0,ssd,2.7014444444444443,4.0,lpddr4,intel celeron n3350,2867.0,intel hd ,0.9,No,chrome os,1.0,1.0,2019-07-29,4.4,129.0,129.0
"lenovo ideapad 11.6"""" hd intel n4020 4gb ram 32gb emmc webcam bt chrome os, black (82ba0000us) ",lenovo,651.0,1.224699399,traditional,general,14.0,32.0,ssd,2.8,4.0,lpddr4,intel celeron n4020,2521.0,intel uhd 600,1.8,No,chrome os,1.0,1.0,2020-06-08,4.2,129.0,129.0
300e gen2 chrmbook cel/1.1 2c 11 4gb 32g ,lenovo,1176.0,1.8370490985,traditional,general,14.0,512.0,ssd,2.9202336956521737,8.0,ddr4,intel core i5 1140g7,2521.0,intel hd 400,1.3,No,chrome os,2.0,0.0,2020-02-22,4.2,129.0,129.0
"2022 lenovo 14inch chromebook, intel celeron n processor up to 2.70ghz, 4gb ram, 64gb ssd, webcam, chrome os, dark blue(renewed) (dark blue) ",lenovo,580.0,2.0774530546000003,traditional,general,14.0,64.0,ssd,2.7,4.0,ddr4,intel core i5 1140g7,2521.0,intel hd ,0.9,No,chrome os,4.0,0.0,2022-02-05,4.2,159.99,129.0
"2023 hp 14"" hd ips chromebook, intel pentium 4-core processor up to 2.68ghz, 4gb ram, 64gb ssd, intel 4k graphics, super-fast 6th gen wifi, dale silver, chrome os (renewed) ",hp,320.0,1.587573295,traditional,general,14.0,64.0,other,2.69395,4.0,ddr4,intel core i5 1140g7,2521.0,intel uhd 605,8.0,No,chrome os,3.0,0.0,2022-11-11,4.2,129.0,129.0
"hp chromebook 14-inch laptop with 180-degree swivel, amd dual-core a4-9120 processor, 4 gb sdram, 32 gb emmc storage, chrome os (14-db0020nr, chalkboard gray) (renewed) ",hp,280.0,0.6803885550000001,traditional,general,14.0,32.0,other,2.5,4.0,ddr4,intel core i5 1140g7,2521.0,intel uhd 605,8.0,No,chrome os,2.0,2.0,2019-10-31,4.2,129.0,129.0
"asus vivobook go 12 l210 11.6” ultra-thin laptop, 2022 version, intel celeron n4020, 4gb ram, 64gb emmc, win 11 home in s mode with one year of office 365 personal, l210ma-ds02 ",asus,33.0,1.632932532,traditional,general,15.3,64.0,other,2.8,4.0,ddr4,intel celeron n4020,2521.0,intel uhd 605,8.0,No,windows,2.0,1.0,2022-01-13,3.9,249.99,129.0
"lenovo ideapad 3 11 chromebook laptop,11.6"" hd display,intel celeron n4020, 4gb ram, 64gb storage, uhd graphics 600, chrome os, onyx black ",lenovo,7.0,1.0976935354,traditional,general,14.0,64.0,ssd,2.4,4.0,ddr4,intel celeron n4020,2521.0,intel iris 540,8.0,No,chrome os,2.0,1.0,2020-05-01,4.4,129.0,129.0
"newest hp chromebook, 14"" multitouch display, amd dual-core processor up to 2.0ghz, 4gb ddr4 memory, 32gb storage, webcam, chrome os(renewed) ",hp,1098.0,2.2089948419,traditional,general,14.0,512.0,ssd,2.69395,4.0,ddr4,intel core i5 1140g7,2867.0,intel uhd 605,1.3,No,chrome os,1.0,0.0,2021-10-14,4.5,129.0,129.0
"2022 acer 14"" fhd ips chromebook, intel celeron processor up to 2.55 ghz, 4gb ram, 64gb ssd, ultra-fast 6th gen wifi speed, chrome os(renewed) (dale silver) ",acer,422.0,2.0048782754,traditional,general,14.0,64.0,ssd,2.69395,4.0,ddr4,intel core i5 1140g7,2867.0,intel uhd 605,1.3,No,chrome os,4.0,0.0,2022-08-28,5.0,134.0,134.0
"hp chromebook 11, 11.6"", celeron, 4gb, 16gb, chrome os ",hp,374.0,1.088621688,traditional,general,14.0,16.0,ssd,2.48,4.0,lpddr3,intel core i5 1140g7,2867.0,intel hd 400,1.3,No,chrome os,2.0,0.0,2016-06-23,4.3,134.0,134.0
"asus chromebook c423na-bcln5 14"" 4gb 32gb intel celeron n3350 x2 2.4ghz chrome os, gray ",asus,524.0,1.179340162,traditional,general,15.3,32.0,ssd,2.4,4.0,ddr4,intel celeron n3350,2867.0,intel hd 500,1.7,No,chrome os,3.0,1.0,2020-10-22,4.4,149.0,135.0
hp 2020 flagship 14 chromebook laptop computer 14-inch hd sva anti-glare display intel celeron n5000 processor 4gb ddr4 64gb emmc wifi webcam chrome os (renewed) ,hp,16.0,1.36077711,traditional,general,14.0,64.0,other,2.6,4.0,lpddr4,intel pentium silver n5000,1952.0,intel uhd 605,2.3,Yes,chrome os,1.0,1.0,2020-12-01,4.4,148.99,137.0
"lenovo 100e windows 2nd gen 81m80035us 11.6"" netbook - hd - 1366 x 768 - intel celeron n4020 dual-core (2 core) 1.10 ghz - 4 gb ram - 64 gb flash memory - gray ",lenovo,387.0,1.224699399,traditional,general,14.0,64.0,ssd,2.7014444444444443,4.0,lpddr4,intel celeron n4020,2521.0,intel uhd 600,1.8,No,windows,2.0,1.0,2020-04-22,4.6,138.0,138.0
"hp 11'' hd ips touchscreen laptop, windows 11, intel i3 processor up to 2.50ghz, 4gb ram, 128gb ssd, hdmi, super-fast wifi, dale black (renewed) ",hp,80.0,2.313321087,traditional,general,14.0,128.0,ssd,2.69395,4.0,ddr4,intel core i5 1140g7,2867.0,intel uhd 605,2.3,No,windows,3.0,1.0,2022-11-07,4.4,139.0,139.0
"newest hp 14inch full hd ips chromebook, intel celeron n3350 up to 2.4ghz processor, 4gb lpddr4 memory, 64gb ssd, intel hd graphics, wifi, chrome os (renewed) ",hp,820.0,1.632932532,traditional,general,14.0,512.0,ssd,2.69395,4.0,ddr4,intel celeron n3350,2867.0,intel hd ,0.9,No,chrome os,3.0,0.0,2020-03-12,4.3,139.0,139.0
"hp 14inch fhd ips chromebook, intel dual-core processor up to 2.6ghz, 4gb memory, 64gb emmc ssd, webcam, wifi, bluetooth, chrome os (renewed) ",hp,319.0,1.9867345806,traditional,general,14.0,512.0,ssd,2.6,4.0,ddr4,intel core i5 1140g7,2521.0,intel uhd 605,2.3,No,chrome os,0.0,0.0,2021-07-06,4.2,147.99,139.0
"samsung chromebook 4 (2021 model) 11.6"" intel uhd graphics 600, intel celeron processor n4020, 4gb, 32gb, wi-fi - (xe310xba-ka1us) ",samsung,11.0,1.179340162,traditional,general,13.3,32.0,other,2.133,4.0,ddr4,intel celeron n4020,2521.0,intel uhd 600,1.8,No,chrome os,2.0,0.0,2020-10-27,4.5,229.99,139.0
"lenovo 2-in-1 convertible 11.6” touchscreen chromebook, intel celeron n processor up to 2.70ghz, 4gb memory, 32gb storage, chrome os, pale gold (renewed) ",lenovo,664.0,1.9232316488,2 in 1,general,14.0,32.0,ssd,2.7,4.0,ddr4,intel core i5 1140g7,2867.0,intel hd ,0.9,No,chrome os,1.0,1.0,2022-02-05,4.5,169.99,139.0
"asus chromebook c223 11.6"" hd chromebook laptop, intel dual-core celeron n3350 processor (up to 2.4ghz), 4gb ram, 32gb emmc storage, premium design, grey, c223na-dh02 ",asus,100.0,1.179340162,traditional,general,15.3,32.0,other,1.0,4.0,ddr4,intel celeron n3350,2867.0,intel hd 500,1.7,No,chrome os,3.0,1.0,2018-12-26,4.2,249.99,139.0
"hp chromebook 14 laptop, intel celeron n4120, 4 gb ram, 64 gb emmc, 14"" hd display, chrome os, 4k graphics, long battery life, ash gray keyboard (14a-na0226nr, 2022, mineral silver) (renewed) ",hp,177.0,1.4696392788,traditional,general,14.0,512.0,ssd,1.1,64.0,ddr4,intel celeron n4120,1978.0,intel uhd 600,1.8,No,chrome os,0.0,1.0,2022-07-06,4.4,159.49,139.0
"acer chromebook spin 311 - 11.6"" intel celeron n4000 1.1ghz 4gb ram 32gb flash chrome os | cp311-2h-c679 (renewed) ",acer,325.0,1.2020197805,2 in 1,general,14.0,32.0,ssd,2.7014444444444443,4.0,lpddr4,intel celeron n4000,2626.0,intel uhd 600,1.8,No,chrome os,1.0,0.0,2020-08-01,4.3,229.0,140.0
"newest hp 14inch chromebook, intel quad-core pentium silver n5000 processor up to 2.70ghz, 4gb memory, 64gb ssd storage, webcam, wifi, bluetooth, chrome os(renewed) (14""/ n5000/ 64gb) ",hp,687.0,1.9912705043,traditional,general,14.0,512.0,ssd,2.7,4.0,ddr4,intel pentium silver n5000,1952.0,intel uhd 605,2.3,No,chrome os,0.0,1.0,2020-11-06,4.6,158.0,140.0
"hp - 11.6"" chromebook - intel celeron - 4gb memory - 32gb emmc flash memory - ash gray ",hp,201.0,1.36077711,traditional,general,14.0,16.0,ssd,2.666,4.0,ddr4,intel core i5 1140g7,1952.0,intel hd 500,1.7,Yes,chrome os,4.0,1.0,2020-06-17,4.5,142.0,142.0
"2022 acer 15inch hd ips chromebook, intel dual-core celeron processor up to 2.55ghz, 4gb ram, 32gb storage, super-fast wifi up to 1300 mbps, chrome os-(renewed) (dale silver) ",acer,8.0,2.4856861876000003,traditional,general,14.0,32.0,ssd,2.69395,4.0,ddr4,intel core i5 1140g7,1952.0,intel hd ,0.9,No,chrome os,4.0,1.0,2022-06-08,4.4,172.0,147.0
"hp chromebook 14 - 14"" hd non-touch intel pentium silver n5000, intel uhd graphics 605, 4gb ram, 64gb emmc, wifi, bluetooth, audio by b&o, chrome os (renewed) ",hp,136.0,1.4560315077,traditional,general,14.0,64.0,ssd,2.7,4.0,ddr3l,intel pentium silver n5000,1952.0,intel uhd 605,2.3,No,windows,0.0,1.0,2020-07-11,4.5,239.99,148.0
"asus laptop l210 11.6” ultra thin, intel celeron n4020 processor, 4gb ram, 64gb emmc storage, windows 10 home in s mode with one year of office 365 personal, l210ma-db02,star black ",asus,117.0,0.04218409041,traditional,general,15.3,64.0,other,2.8,4.0,ddr4,intel celeron n4020,2521.0,intel uhd 600,1.8,No,windows,2.0,1.0,2021-10-07,4.2,168.0,148.0
"asus br1100 laptop, 11.6"" hd anti-glare display, 180 degree, celeron n4500, 4gb, 64gb ssd, mil-std 810h durability, tamper/spill-resistant keyboard, tpm 2.0, windows 10 pro, dark grey, br1100cka-502y ",asus,243.0,1.0704779932,traditional,general,15.3,64.0,ssd,2.4,4.0,ddr4,intel celeron n4500,2253.0,intel uhd g7,5.3,No,windows,2.0,1.0,2021-06-08,4.2,279.99,148.0
"acer 11.6inch ips touchscreen convertible 2-in-1 chromebook, intel celeron n3350 processor up to 2.4 ghz, 4gb lpddr4 memory, 32gb ssd, chrome os-(renewed) ",acer,735.0,1.2519149412,2 in 1,general,14.0,32.0,ssd,2.69395,4.0,ddr4,intel celeron n3350,2867.0,intel hd ,0.9,No,chrome os,1.0,1.0,2020-02-05,4.3,159.99,149.0
"acer 15.6inch chromebook-intel dual-core celeron n processor, 4gb ram, 32gb ssd, intel uhd graphics, numeric keypad, wifi, bluetooth, chrome os-(renewed) ",acer,214.0,1.9277675725,traditional,general,14.0,32.0,ssd,2.6,4.0,ddr4,intel core i5 1140g7,3327.0,intel hd ,0.9,No,chrome os,1.0,1.0,2020-07-24,4.5,189.99,149.0
"hp 11.6 inch high performance chromebook laptop computer, intel celeron n3060 up to 2.48ghz, 4gb memory, 16gb emmc, wifi 802.11ac, usb 3.1, bluetooth, webcam, chrome os (renewed) ",hp,640.0,1.133980925,traditional,general,14.0,16.0,other,2.48,4.0,ddr3,intel celeron n3060,3327.0,intel hd 400,1.3,No,chrome os,2.0,0.0,2017-07-01,4.3,149.0,149.0
"hp 11-v010wm 11.6"" chromebook, chrome, intel celeron n3060 processor, 4gb ram, 16gb emmc drive ",hp,886.0,1.1294450013,traditional,general,14.0,16.0,other,1.6,4.0,ddr4,intel celeron n3060,3327.0,intel uhd 605,2.3,No,chrome os,2.0,0.0,2018-09-16,4.8,152.0,152.0
"2020 lenovo chromebook computer 11.6"" hd display, amd a6-9220c processor, 4gb ram, 32gb emmc, hd webcam, amd radeon r4 graphics, chrome os, black ",lenovo,801.0,1.2065557042,traditional,general,14.0,512.0,ssd,2.69395,4.0,ddr4,amd a6 9220c,2907.0,amd radeon r4,2.2,No,chrome os,2.0,0.0,2020-04-28,4.7,155.0,155.0
asus e410 intel celeron n4020 4gb 64gb 14-inch hd led win 10 laptop (star black) ,asus,13.0,0.45359237,traditional,general,15.3,64.0,other,2.8,4.0,sdram,intel celeron n4020,2521.0,intel uhd 605,2.3,No,windows,1.0,0.0,2022-04-25,4.0,155.0,155.0
"hp chromebook 11-inch laptop - up to 15 hour battery life - mediatek - mt8183 - 4 gb ram - 32 gb emmc storage - 11.6-inch hd display - with chrome os™ - (11a-na0021nr, 2020 model, snow white) ",hp,38.0,1.0704779932,traditional,general,14.0,32.0,other,2.7014444444444443,4.0,lpddr4,mediatek mt8183,2282.0,intel uhd 605,2.3,No,chrome os,3.0,2.0,2020-10-04,4.4,259.99,156.0
"2021 acer convertible 2-in-1 chromebook-11.6"" hd ips touchscreen, mediatek octa-core processor up to 2.0ghz, 4gb ram, 32gb emmc ssd, bluetooth, chrome os (renewed) ",acer,277.0,1.7145791586,2 in 1,general,14.0,32.0,ssd,2.5999999999999996,4.0,lpddr4x,intel core i5 1140g7,2626.0,intel uhd 605,2.3,No,chrome os,1.0,0.0,2021-07-17,4.6,156.0,156.0
"asus chromebook c203xa rugged & spill resistant laptop, 11.6"" hd, 180 degree, mediatek quad-core processor, 4gb ram, 32gb emmc, mil-std 810g durability, dark grey, education, chrome os, c203xa-ys02-gr ",asus,89.0,1.179340162,traditional,general,15.3,32.0,other,2.4336190476190476,4.0,ddr3,intel core i5 1140g7,2626.0,intel uhd 605,2.3,No,chrome os,1.0,1.0,2020-04-11,4.3,249.99,157.0
"acer chromebook spin 311 cp311-2h-c3ka convertible laptop, intel celeron n4000, 11.6"" hd touchscreen, 4gb lpddr4, 64gb emmc, gigabit wifi, bluetooth 5.0 (renewed) ",acer,273.0,0.28757756258,traditional,general,14.0,64.0,other,2.6,4.0,lpddr4,intel celeron n4000,2626.0,intel hd 400,1.3,No,chrome os,2.0,0.0,2020-08-24,4.4,304.91,159.0
"2022 hp flagship chromebook, 14"" ips full hd(1920x1080) screen with anti-glare, amd dual-core processor up to 3.5 ghz, 4gb ddr4 ram, 128gb ssd, webcam, chrome os, ash gray (renewed) ",hp,630.0,2.0638452835,traditional,general,14.0,512.0,ssd,3.5,4.0,ddr4,intel core i5 1140g7,2521.0,amd radeon rx vega 8,8.5,No,chrome os,1.0,2.0,2022-04-27,2.7,169.99,159.0
"newest hp 11.6inch stream laptop, intel atom processor up to 2.0 ghz, 4gb ddr3 ram, 32gb ssd, intel hd graphics, wifi, bluetooth, hdmi, win10 home (renewed) ",hp,817.0,1.088621688,traditional,general,14.0,512.0,ssd,2.2094285714285715,4.0,ddr3l,intel core i5 1140g7,2521.0,intel hd ,0.9,No,windows,1.0,1.0,2020-01-21,4.0,159.0,159.0
"2022 acer convertible 2-in-1 chromebook-11.6"" ips touchscreen, arm cortex 6 core processor, 4gb ddr4 memory, 32gb emmc ssd, webcam, chrome os (renewed) ",acer,206.0,1.5966451424,2 in 1,general,14.0,32.0,ssd,2.69395,4.0,ddr4,intel core i5 1140g7,2521.0,intel uhd 605,2.3,No,chrome os,1.0,0.0,2021-12-03,4.6,175.99,159.0
"asus l410 ma-db02 ultra thin laptop, 14” fhd display, intel celeron n4020 processor, 4gb ram, 64gb storage, numberpad, windows 10 home in s mode, star black ",asus,34.0,1.3018101019,traditional,general,15.3,64.0,other,2.8,4.0,ddr4,intel celeron n4020,2521.0,intel uhd 600,1.8,No,windows,2.0,1.0,2020-07-20,4.3,269.99,159.0
"lenovo n22 80sf0001us 11.6inch chromebook intel celeron n3050 1.60 ghz, 4gb ram, 16gb ssd drive, chrome os (renewed) ",lenovo,235.0,1.179340162,traditional,general,14.0,16.0,other,1.6,4.0,ddr3,intel celeron n3050,3395.0,intel hd ,0.9,No,chrome os,2.0,0.0,2017-07-06,4.1,199.99,160.0
"acer chromebook 311 laptop | amd a-series dual-core a4-9120c | 11.6"" hd display | amd radeon r4 graphics | 4gb ddr4 | 64gb emmc | 802.11ac wifi 5 | bluetooth 4.2 | chrome os | cb311-10h-42ly ",acer,370.0,1.3018101019,traditional,general,14.0,512.0,ssd,1.6,4.0,ddr4,amd a4 9120c,3151.0,intel uhd 605,2.3,No,chrome os,4.0,1.0,2021-07-02,4.3,229.99,161.0
"2022 lenovo chromebook flex 3, 2-in-1 11.6"" hd touchscreen for business and student laptop, mediatek mt8173c cpu, 4gb lpddr3, 32gb emmc, powervr graphics, webcam, chrome os, grey, 128gb usb card ",lenovo,55.0,1.2020197805,traditional,general,14.0,32.0,ssd,2.102,4.0,lpddr3,intel core i5 1140g7,3327.0,intel uhd 605,2.3,No,chrome os,1.0,1.0,2020-10-27,4.3,168.0,168.0
"hp lightweight stream- 14in hd led, intel celeron n3060, 4gb ram, 64gb ssd, intel hd graphics, win10 home-gray (renewed) ",hp,652.0,0.90718474,traditional,general,14.0,64.0,ssd,2.48,4.0,ddr4,intel celeron n3060,3327.0,intel uhd 605,2.3,No,chrome os,1.0,0.0,2019-03-19,3.9,169.0,169.0
"2018 newest renewed acer convertible 2-in-1 ultrabook-11.6in fhd(1920 x 1080) ips touchscreen, intel celeron dual-core n3350 processor, 4gb ram 32gb ssd, hdmi, win10 home-(renewed) ",acer,791.0,1.270058636,2 in 1,general,14.0,32.0,ssd,2.2094285714285715,4.0,ddr3l,intel celeron n3350,2867.0,intel hd 500,1.7,No,windows,1.0,2.0,2018-09-06,4.2,169.0,169.0
"hp 11.6inch stream laptop, intel celeron processor up to 2.60ghz, 4gb ddr4 ram, 32gb ssd, intel uhd graphics, win10 (renewed), white, 11-11.99 inches, (hp 11.6inch laptop) ",hp,950.0,1.6556121505,traditional,general,14.0,64.0,other,2.6,4.0,ddr4,intel core i5 1140g7,2521.0,intel uhd 605,2.3,No,windows,0.0,2.0,2021-10-31,3.8,169.0,169.0
"2022 hp 14"" ips fhd chromebook, ryzen 3 processor up to 3.45ghz, 4gb ram, 128gb ssd, intel 4k graphics, ultra-fast wifi speed, chrome os, dale gray (renewed) (dale gray) ",hp,212.0,1.81436948,traditional,general,14.0,128.0,ssd,2.69395,4.0,ddr4,intel core i5 1140g7,2521.0,intel uhd 605,2.3,No,chrome os,3.0,0.0,2022-10-31,3.9,169.0,169.0
"2022 samsung 14"" hd ips ultra-thin chromebook, intel celeron processor up to 2.78 ghz, 4gb ram, 64gb ssd, super-fast 6th gen wifi speed, chrome os, dale black (renewed) ",samsung,323.0,1.9549831147,traditional,general,13.3,64.0,ssd,2.69395,4.0,ddr4,intel core i5 1140g7,2521.0,intel uhd 605,2.3,No,chrome os,3.0,1.0,2022-09-14,4.0,169.0,169.0
"2022 acer 15.6"" fhd ips touchscreen chromebook, intel dual-core celeron n processor up to 2.50ghz, 4gb ram, 32gb ssd, numeric keypad, ultra-fast wifi, chrome os-(renewed) ",acer,308.0,2.2861055448000003,traditional,general,14.0,512.0,ssd,2.102,4.0,lpddr3,intel core i5 1140g7,2521.0,intel uhd 605,2.3,No,uninstalled,1.0,0.0,2022-05-31,4.4,199.99,169.0
"samsung chromebook 4 (2021 model) 11.6"" intel uhd graphics 600, intel celeron processor n4020, 4gb, 16gb- wi-fi - satin gray- (xe310xba-kb1us) ",samsung,265.0,1.587573295,traditional,general,13.3,512.0,ssd,2.133,4.0,ddr4,intel celeron n4020,2521.0,intel iris pro 6200,5.9,No,chrome os,2.0,0.0,2020-10-27,4.1,224.99,169.0
"lenovo ideapad 1 laptop, 14.0"" hd display, intel celeron n4020, 4gb ram, 64gb storage, intel uhd graphics 600, windows 11 in s mode, ice blue ",lenovo,9.0,1.36077711,traditional,general,14.0,64.0,ssd,2.69395,4.0,ddr4,intel celeron n4020,2521.0,intel uhd 600,1.8,No,windows,2.0,1.0,2021-10-05,4.3,299.99,169.0
"acer chromebook 315 laptop computer/ 15.6"" screen for business student/ intel celeron n4000 up to 2.6ghz/ 4gb ddr4/ 32gb emmc/ ac wifi/ work from home/ silver/ chrome os (renewed) ",acer,752.0,1.8007617089,traditional,general,14.0,32.0,other,1.1,4.0,ddr4,intel celeron n4000,2626.0,intel uhd 600,1.8,No,chrome os,2.0,0.0,2020-02-20,4.2,169.0,169.0
